2018-12-10 09:14:07 Started
2018-12-10 16:44:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 16:49:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 16:54:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 16:59:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:04:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:09:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:14:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:19:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:24:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:29:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:34:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:39:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:44:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:49:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:54:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 17:59:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:04:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:09:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:14:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:19:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:24:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:29:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:34:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:39:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:44:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:49:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:54:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 18:59:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:04:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:09:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:14:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:19:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:24:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:29:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:34:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:39:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:44:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:49:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:54:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 19:59:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:04:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:09:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:14:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:19:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:24:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:29:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:34:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:39:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:44:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:49:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:54:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 20:59:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:04:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:09:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:14:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:19:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:24:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:29:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:34:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:39:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:44:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:49:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:54:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 21:59:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:04:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:09:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:14:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:19:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:24:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:29:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:34:36 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:39:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:44:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:49:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:54:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 22:59:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:04:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:09:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:14:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:19:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:24:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:29:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:34:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:39:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:44:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:49:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:54:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 23:59:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:04:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:09:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:14:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:19:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:24:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:29:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:34:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:39:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:44:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:49:37 Payments splintered and 0 successfully sent, 1 failed
